X-Men
Altura|Peso|Fuerza|PeleasGanadas|Velocidad
4|SuperSkrull|1,83|194|7370|188|990
5|Mystique|1,78|54|395|415|65
6|ManchaSolar|1,73|77|4300|770|247
7|Mimic|1,89|102|1860|602|411
8|Siniestro|1,90|116|2200|400|190
9|Xavier|1,83|86|200|975|10
10|Shaman|1,80|80|460|858|68
11|Wolverine|1,64|136|1090|988|73
12|Angel|1,81|64|480|907|411
13|Darkstar|1,65|56|185|788|220
14|Deadpool|1,89|95|1350|899|97
15|Bestia|1,80|141|1860|922|93
16|Spiral|1,66|84|1088|68|87
17|DientesDeSable|2,01|125|1150|268|77
18|Prisma|1,78|118|485|33|43
19|Gladiador|2,00|230|9240|950|10000
20|Cyclope|1,85|89|750|985|58
21|Fantomex|1,76|79|587|783|55
22|MonolitoViviente|12,50|6800|5700|395|64
23|Nimrod|3,00|253|8600|270|528
24|Psylocke|1,80|67|500|847|127
25|Rockslide|3,20|506|6350|684|39
26|Quicksilver|1,83|79|1100|875|8000
27|Magma|1,68|56|263|629|2883
28|Holocausto|2,07|124|1400|70|1100
29|CyborgX|1,86|107|990|92|97
30|GataSombra|1,63|48|345|880|50
31|Sage|1,74|61|575|793|71
32|Viper|1,77|63|655|285|54
33|Guardian|1,82|95|1500|880|1000
34|VivoraMortal|1,90|63|1020|66|88
35|Quimera|1,80|64|300|80|158
36|Manta|1,70|62|225|615|263
37|Wicked|1,55|45|110|627|30
38|Vulcano|1,83|81|830|580|15000
39|Arclight|1,77|57|4800|66|53
